Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Desc_superficie,Superficie_m2
2017,1,Ciutat Vella,1,el Raval,Fins a  30 m²,1753
2017,1,Ciutat Vella,2,el Barri Gòtic,Fins a  30 m²,741
2017,1,Ciutat Vella,3,la Barceloneta,Fins a  30 m²,1093
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Fins a  30 m²,1153
2017,2,Eixample,5,el Fort Pienc,Fins a  30 m²,338
2017,2,Eixample,6,la Sagrada Família,Fins a  30 m²,673
2017,2,Eixample,7,la Dreta de l'Eixample,Fins a  30 m²,590
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Fins a  30 m²,420
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Fins a  30 m²,589
2017,2,Eixample,10,Sant Antoni,Fins a  30 m²,416
2017,3,Sants-Montjuïc,11,el Poble Sec,Fins a  30 m²,787
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Fins a  30 m²,94
2017,3,Sants-Montjuïc,13,la Marina de Port,Fins a  30 m²,204
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Fins a  30 m²,104
2017,3,Sants-Montjuïc,15,Hostafrancs,Fins a  30 m²,342
2017,3,Sants-Montjuïc,16,la Bordeta,Fins a  30 m²,107
2017,3,Sants-Montjuïc,17,Sants - Badal,Fins a  30 m²,199
2017,3,Sants-Montjuïc,18,Sants,Fins a  30 m²,687
2017,4,Les Corts,19,les Corts,Fins a  30 m²,502
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Fins a  30 m²,239
2017,4,Les Corts,21,Pedralbes,Fins a  30 m²,192
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Fins a  30 m²,444
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Fins a  30 m²,598
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Fins a  30 m²,134
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Fins a  30 m²,488
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Fins a  30 m²,699
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Fins a  30 m²,578
2017,6,Gràcia,28,Vallcarca i els Penitents,Fins a  30 m²,378
2017,6,Gràcia,29,el Coll,Fins a  30 m²,171
2017,6,Gràcia,30,la Salut,Fins a  30 m²,412
2017,6,Gràcia,31,la Vila de Gràcia,Fins a  30 m²,1683
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Fins a  30 m²,497
2017,7,Horta-Guinardó,33,el Baix Guinardó,Fins a  30 m²,261
2017,7,Horta-Guinardó,34,Can Baró,Fins a  30 m²,243
2017,7,Horta-Guinardó,35,el Guinardó,Fins a  30 m²,718
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Fins a  30 m²,390
2017,7,Horta-Guinardó,37,el Carmel,Fins a  30 m²,800
2017,7,Horta-Guinardó,38,la Teixonera,Fins a  30 m²,256
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Fins a  30 m²,91
2017,7,Horta-Guinardó,40,Montbau,Fins a  30 m²,113
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Fins a  30 m²,1183
2017,7,Horta-Guinardó,42,la Clota,Fins a  30 m²,42
2017,7,Horta-Guinardó,43,Horta,Fins a  30 m²,759
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Fins a  30 m²,328
2017,8,Nou Barris,45,Porta,Fins a  30 m²,175
2017,8,Nou Barris,46,el Turó de la Peira,Fins a  30 m²,115
2017,8,Nou Barris,47,Can Peguera,Fins a  30 m²,39
2017,8,Nou Barris,48,la Guineueta,Fins a  30 m²,7
2017,8,Nou Barris,49,Canyelles,Fins a  30 m²,7
2017,8,Nou Barris,50,les Roquetes,Fins a  30 m²,401
2017,8,Nou Barris,51,Verdun,Fins a  30 m²,161
2017,8,Nou Barris,52,la Prosperitat,Fins a  30 m²,356
2017,8,Nou Barris,53,la Trinitat Nova,Fins a  30 m²,26
2017,8,Nou Barris,54,Torre Baró,Fins a  30 m²,247
