Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Us_del_local,Nombre
2017,1,Ciutat Vella,1,el Raval,Habitatge,23454
2017,1,Ciutat Vella,2,el Barri Gòtic,Habitatge,10515
2017,1,Ciutat Vella,3,la Barceloneta,Habitatge,9238
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Habitatge,14670
2017,2,Eixample,5,el Fort Pienc,Habitatge,15670
2017,2,Eixample,6,la Sagrada Família,Habitatge,27544
2017,2,Eixample,7,la Dreta de l'Eixample,Habitatge,27137
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Habitatge,24465
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Habitatge,30383
2017,2,Eixample,10,Sant Antoni,Habitatge,20264
2017,3,Sants-Montjuïc,11,el Poble Sec,Habitatge,19228
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Habitatge,798
2017,3,Sants-Montjuïc,13,la Marina de Port,Habitatge,13277
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Habitatge,5063
2017,3,Sants-Montjuïc,15,Hostafrancs,Habitatge,8212
2017,3,Sants-Montjuïc,16,la Bordeta,Habitatge,8564
2017,3,Sants-Montjuïc,17,Sants - Badal,Habitatge,11750
2017,3,Sants-Montjuïc,18,Sants,Habitatge,21178
2017,4,Les Corts,19,les Corts,Habitatge,23185
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Habitatge,11687
2017,4,Les Corts,21,Pedralbes,Habitatge,6064
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Habitatge,3490
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Habitatge,12777
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Habitatge,7061
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Habitatge,12722
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Habitatge,25533
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Habitatge,16438
2017,6,Gràcia,28,Vallcarca i els Penitents,Habitatge,9025
2017,6,Gràcia,29,el Coll,Habitatge,3952
2017,6,Gràcia,30,la Salut,Habitatge,7003
2017,6,Gràcia,31,la Vila de Gràcia,Habitatge,31562
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Habitatge,18640
2017,7,Horta-Guinardó,33,el Baix Guinardó,Habitatge,12568
2017,7,Horta-Guinardó,34,Can Baró,Habitatge,4806
2017,7,Horta-Guinardó,35,el Guinardó,Habitatge,18786
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Habitatge,5300
2017,7,Horta-Guinardó,37,el Carmel,Habitatge,15591
2017,7,Horta-Guinardó,38,la Teixonera,Habitatge,5978
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Habitatge,3562
2017,7,Horta-Guinardó,40,Montbau,Habitatge,2577
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Habitatge,3968
2017,7,Horta-Guinardó,42,la Clota,Habitatge,428
