"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nacionalitat","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Tots espanyols",8025
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Tots espanyols",3105
2019,1,"Ciutat Vella",3,"la Barceloneta","Tots espanyols",3896
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots espanyols",5305
2019,2,"Eixample",5,"el Fort Pienc","Tots espanyols",9533
2019,2,"Eixample",6,"la Sagrada Família","Tots espanyols",16592
2019,2,"Eixample",7,"la Dreta de l'Eixample","Tots espanyols",13111
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots espanyols",13222
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots espanyols",19127
2019,2,"Eixample",10,"Sant Antoni","Tots espanyols",12086
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Tots espanyols",10332
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots espanyols",408
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Tots espanyols",9848
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots espanyols",3298
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Tots espanyols",4877
2019,3,"Sants-Montjuïc",16,"la Bordeta","Tots espanyols",6543
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Tots espanyols",7978
2019,3,"Sants-Montjuïc",18,"Sants","Tots espanyols",13643
2019,4,"Les Corts",19,"les Corts","Tots espanyols",16240
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots espanyols",8226
2019,4,"Les Corts",21,"Pedralbes","Tots espanyols",3293
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots espanyols",1233
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots espanyols",7236
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots espanyols",4742
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots espanyols",7848
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots espanyols",15201
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots espanyols",9869
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Tots espanyols",5305
2019,6,"Gràcia",29,"el Coll","Tots espanyols",2508
2019,6,"Gràcia",30,"la Salut","Tots espanyols",4461
2019,6,"Gràcia",31,"la Vila de Gràcia","Tots espanyols",16748
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots espanyols",12163
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots espanyols",8897
2019,7,"Horta-Guinardó",34,"Can Baró","Tots espanyols",3125
2019,7,"Horta-Guinardó",35,"el Guinardó","Tots espanyols",12612
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots espanyols",3379
2019,7,"Horta-Guinardó",37,"el Carmel","Tots espanyols",10582
2019,7,"Horta-Guinardó",38,"la Teixonera","Tots espanyols",3988
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots espanyols",2440
2019,7,"Horta-Guinardó",40,"Montbau","Tots espanyols",1829
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots espanyols",2118
