"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Edat_mitjana"
2014,1,"Ciutat Vella",1,"el Raval","Tots espanyols","48.0"
2014,1,"Ciutat Vella",2,"el Barri Gòtic","Tots espanyols","50.2"
2014,1,"Ciutat Vella",3,"la Barceloneta","Tots espanyols","50.1"
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots espanyols","50.0"
2014,2,"Eixample",5,"el Fort Pienc","Tots espanyols","49.7"
2014,2,"Eixample",6,"la Sagrada Família","Tots espanyols","48.1"
2014,2,"Eixample",7,"la Dreta de l'Eixample","Tots espanyols","48.9"
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots espanyols","47.8"
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots espanyols","48.4"
2014,2,"Eixample",10,"Sant Antoni","Tots espanyols","48.5"
2014,3,"Sants-Montjuïc",11,"el Poble Sec","Tots espanyols","49.8"
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots espanyols","49.0"
2014,3,"Sants-Montjuïc",13,"la Marina de Port","Tots espanyols","45.3"
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots espanyols","45.3"
2014,3,"Sants-Montjuïc",15,"Hostafrancs","Tots espanyols","48.6"
2014,3,"Sants-Montjuïc",16,"la Bordeta","Tots espanyols","47.8"
2014,3,"Sants-Montjuïc",17,"Sants - Badal","Tots espanyols","47.7"
2014,3,"Sants-Montjuïc",18,"Sants","Tots espanyols","48.3"
2014,4,"Les Corts",19,"les Corts","Tots espanyols","47.8"
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots espanyols","47.6"
2014,4,"Les Corts",21,"Pedralbes","Tots espanyols","48.0"
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots espanyols","46.8"
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots espanyols","41.3"
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots espanyols","43.7"
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots espanyols","42.9"
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots espanyols","44.6"
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots espanyols","45.5"
2014,6,"Gràcia",28,"Vallcarca i els Penitents","Tots espanyols","45.1"
2014,6,"Gràcia",29,"el Coll","Tots espanyols","46.9"
2014,6,"Gràcia",30,"la Salut","Tots espanyols","45.9"
2014,6,"Gràcia",31,"la Vila de Gràcia","Tots espanyols","47.6"
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots espanyols","47.2"
2014,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots espanyols","47.9"
2014,7,"Horta-Guinardó",34,"Can Baró","Tots espanyols","48.6"
2014,7,"Horta-Guinardó",35,"el Guinardó","Tots espanyols","47.9"
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots espanyols","47.7"
2014,7,"Horta-Guinardó",37,"el Carmel","Tots espanyols","45.7"
2014,7,"Horta-Guinardó",38,"la Teixonera","Tots espanyols","46.8"
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots espanyols","46.7"
2014,7,"Horta-Guinardó",40,"Montbau","Tots espanyols","49.8"
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots espanyols","52.2"
2014,7,"Horta-Guinardó",42,"la Clota","Tots espanyols","48.1"
2014,7,"Horta-Guinardó",43,"Horta","Tots espanyols","43.4"
2014,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots espanyols","47.8"
2014,8,"Nou Barris",45,"Porta","Tots espanyols","48.7"
2014,8,"Nou Barris",46,"el Turó de la Peira","Tots espanyols","49.4"
2014,8,"Nou Barris",47,"Can Peguera","Tots espanyols","51.7"
2014,8,"Nou Barris",48,"la Guineueta","Tots espanyols","46.7"
