"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Tots espanyols",8391
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Tots espanyols",3268
2018,1,"Ciutat Vella",3,"la Barceloneta","Tots espanyols",4058
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots espanyols",5526
2018,2,"Eixample",5,"el Fort Pienc","Tots espanyols",9738
2018,2,"Eixample",6,"la Sagrada Família","Tots espanyols",16973
2018,2,"Eixample",7,"la Dreta de l'Eixample","Tots espanyols",13379
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots espanyols",13572
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots espanyols",19425
2018,2,"Eixample",10,"Sant Antoni","Tots espanyols",12387
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Tots espanyols",10637
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots espanyols",413
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Tots espanyols",9963
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots espanyols",3361
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Tots espanyols",4981
2018,3,"Sants-Montjuïc",16,"la Bordeta","Tots espanyols",6515
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Tots espanyols",8026
2018,3,"Sants-Montjuïc",18,"Sants","Tots espanyols",13872
2018,4,"Les Corts",19,"les Corts","Tots espanyols",16351
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots espanyols",8330
2018,4,"Les Corts",21,"Pedralbes","Tots espanyols",3342
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots espanyols",1248
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots espanyols",7378
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots espanyols",4789
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots espanyols",7890
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots espanyols",15422
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots espanyols",10013
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Tots espanyols",5335
2018,6,"Gràcia",29,"el Coll","Tots espanyols",2550
2018,6,"Gràcia",30,"la Salut","Tots espanyols",4494
2018,6,"Gràcia",31,"la Vila de Gràcia","Tots espanyols",17061
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots espanyols",12369
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots espanyols",9021
2018,7,"Horta-Guinardó",34,"Can Baró","Tots espanyols",3159
2018,7,"Horta-Guinardó",35,"el Guinardó","Tots espanyols",12777
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots espanyols",3364
2018,7,"Horta-Guinardó",37,"el Carmel","Tots espanyols",10771
2018,7,"Horta-Guinardó",38,"la Teixonera","Tots espanyols",4030
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots espanyols",2458
2018,7,"Horta-Guinardó",40,"Montbau","Tots espanyols",1857
