Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2018,NC,No consta,NC,No consta,NC,no consta,Nombre,110
2018,1,Ciutat Vella,1,el Raval,1,Habitatge,Nombre,819
2018,1,Ciutat Vella,1,el Raval,1,Aparcaments,Nombre,98
2018,1,Ciutat Vella,1,el Raval,1,Comerç,Nombre,50
2018,1,Ciutat Vella,1,el Raval,1,Magatzem,Nombre,30
2018,1,Ciutat Vella,1,el Raval,1,Oficina,Nombre,157
2018,1,Ciutat Vella,1,el Raval,1,Hotel,Nombre,28
2018,1,Ciutat Vella,1,el Raval,1,Ensenyament,Nombre,21
2018,1,Ciutat Vella,1,el Raval,1,Sanitat,Nombre,5
2018,1,Ciutat Vella,1,el Raval,1,Religiós,Nombre,1
2018,1,Ciutat Vella,1,el Raval,1,Adm.Pública,Nombre,15
2018,1,Ciutat Vella,1,el Raval,1,Espectacles,Nombre,2
2018,1,Ciutat Vella,1,el Raval,2,Habitatge,Nombre,700
2018,1,Ciutat Vella,1,el Raval,2,Aparcaments,Nombre,54
2018,1,Ciutat Vella,1,el Raval,2,Comerç,Nombre,60
2018,1,Ciutat Vella,1,el Raval,2,Magatzem,Nombre,57
2018,1,Ciutat Vella,1,el Raval,2,Oficina,Nombre,10
2018,1,Ciutat Vella,1,el Raval,2,Hotel,Nombre,94
2018,1,Ciutat Vella,1,el Raval,2,Ensenyament,Nombre,17
2018,1,Ciutat Vella,1,el Raval,2,Esportiu,Nombre,1
2018,1,Ciutat Vella,1,el Raval,2,Espectacles,Nombre,12
2018,1,Ciutat Vella,1,el Raval,3,Habitatge,Nombre,1331
2018,1,Ciutat Vella,1,el Raval,3,Aparcaments,Nombre,222
2018,1,Ciutat Vella,1,el Raval,3,Comerç,Nombre,132
2018,1,Ciutat Vella,1,el Raval,3,Magatzem,Nombre,58
2018,1,Ciutat Vella,1,el Raval,3,Oficina,Nombre,17
2018,1,Ciutat Vella,1,el Raval,3,Hotel,Nombre,41
2018,1,Ciutat Vella,1,el Raval,3,Ensenyament,Nombre,3
2018,1,Ciutat Vella,1,el Raval,3,Sanitat,Nombre,10
2018,1,Ciutat Vella,1,el Raval,3,Esportiu,Nombre,1
2018,1,Ciutat Vella,1,el Raval,3,Espectacles,Nombre,1
2018,1,Ciutat Vella,1,el Raval,3,Altres,Nombre,2
2018,1,Ciutat Vella,1,el Raval,4,Habitatge,Nombre,1461
2018,1,Ciutat Vella,1,el Raval,4,Aparcaments,Nombre,551
2018,1,Ciutat Vella,1,el Raval,4,Comerç,Nombre,98
2018,1,Ciutat Vella,1,el Raval,4,Magatzem,Nombre,81
2018,1,Ciutat Vella,1,el Raval,4,Oficina,Nombre,29
2018,1,Ciutat Vella,1,el Raval,4,Hotel,Nombre,66
2018,1,Ciutat Vella,1,el Raval,4,Ensenyament,Nombre,17
2018,1,Ciutat Vella,1,el Raval,4,Esportiu,Nombre,9
2018,1,Ciutat Vella,1,el Raval,4,Religiós,Nombre,3
2018,1,Ciutat Vella,1,el Raval,4,Adm.Pública,Nombre,8
