Year,Code_District,Name_Dist,Code_NBHD,Name_NBHD,Nationality,Amount,Average_Age
2019,1,Ciutat Vella,1,el Raval,Spaniards,8025,50.2523276843727
2019,1,Ciutat Vella,2,el Barri Gòtic,Spaniards,3105,51.082465124492295
2019,1,Ciutat Vella,3,la Barceloneta,Spaniards,3896,50.566525871172104
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Spaniards,5305,49.72803863146
2019,2,Eixample,5,el Fort Pienc,Spaniards,9533,49.02229360437239
2019,2,Eixample,6,la Sagrada Família,Spaniards,16592,49.8878350749659
2019,2,Eixample,7,la Dreta de l'Eixample,Spaniards,13111,48.4362871252695
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Spaniards,13222,48.713241814763606
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Spaniards,19127,49.3311451495259
2019,2,Eixample,10,Sant Antoni,Spaniards,12086,50.3818109452736
2019,3,Sants-Montjuïc,11,el Poble Sec,Spaniards,10332,49.6987836870975
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Spaniards,408,44.725552050473205
2019,3,Sants-Montjuïc,13,la Marina de Port,Spaniards,9848,47.10448997384479
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Spaniards,3298,49.9654251581167
2019,3,Sants-Montjuïc,15,Hostafrancs,Spaniards,4877,48.4509083880943
2019,3,Sants-Montjuïc,16,la Bordeta,Spaniards,6543,48.4970217950453
2019,3,Sants-Montjuïc,17,Sants - Badal,Spaniards,7978,49.344815628251105
2019,3,Sants-Montjuïc,18,Sants,Spaniards,13643,48.390780190424
2019,4,Les Corts,19,les Corts,Spaniards,16240,48.5653349191761
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Spaniards,8226,48.97171145686
2019,4,Les Corts,21,Pedralbes,Spaniards,3293,46.8991784037559
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Spaniards,1233,41.8032589016294
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Spaniards,7236,44.495000264536294
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Spaniards,4742,43.610007468259894
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Spaniards,7848,45.0514060187469
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Spaniards,15201,45.8683185457693
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Spaniards,9869,45.67818451860911
2019,6,Gràcia,28,Vallcarca i els Penitents,Spaniards,5305,47.224106551952296
2019,6,Gràcia,29,el Coll,Spaniards,2508,46.906441165887
2019,6,Gràcia,30,la Salut,Spaniards,4461,48.367310372287506
2019,6,Gràcia,31,la Vila de Gràcia,Spaniards,16748,47.060770103902904
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Spaniards,12163,48.505392212509896
2019,7,Horta-Guinardó,33,el Baix Guinardó,Spaniards,8897,49.852119436164294
2019,7,Horta-Guinardó,34,Can Baró,Spaniards,3125,48.519020550940105
2019,7,Horta-Guinardó,35,el Guinardó,Spaniards,12612,48.1217104069113
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Spaniards,3379,46.6029482841953
2019,7,Horta-Guinardó,37,el Carmel,Spaniards,10582,48.124230624293396
2019,7,Horta-Guinardó,38,la Teixonera,Spaniards,3988,47.6370362067033
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Spaniards,2440,49.8953726073221
2019,7,Horta-Guinardó,40,Montbau,Spaniards,1829,50.24743326488711
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Spaniards,2118,48.3029045643154
2019,7,Horta-Guinardó,42,la Clota,Spaniards,240,40.4918625678119
2019,7,Horta-Guinardó,43,Horta,Spaniards,9364,48.6477193633706
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Spaniards,8917,49.6867384599828
2019,8,Nou Barris,45,Porta,Spaniards,8564,50.03673733613849
2019,8,Nou Barris,46,el Turó de la Peira,Spaniards,4797,50.512564305500604
2019,8,Nou Barris,47,Can Peguera,Spaniards,822,47.3294956140351
2019,8,Nou Barris,48,la Guineueta,Spaniards,5606,49.6767872356905
2019,8,Nou Barris,49,Canyelles,Spaniards,2634,49.14929714008721
2019,8,Nou Barris,50,les Roquetes,Spaniards,4596,46.026961470286395
2019,8,Nou Barris,51,Verdun,Spaniards,4056,49.2110670091058
2019,8,Nou Barris,52,la Prosperitat,Spaniards,9060,49.61494367460871
2019,8,Nou Barris,53,la Trinitat Nova,Spaniards,2299,47.262164846077496
2019,8,Nou Barris,54,Torre Baró,Spaniards,748,41.6080200501253
2019,8,Nou Barris,55,Ciutat Meridiana,Spaniards,2542,48.036034482758595
2019,8,Nou Barris,56,Vallbona,Spaniards,385,44.55489614243321
2019,9,Sant Andreu,57,la Trinitat Vella,Spaniards,2413,45.634700763629894
2019,9,Sant Andreu,58,Baró de Viver,Spaniards,818,44.0128600823045
2019,9,Sant Andreu,59,el Bon Pastor,Spaniards,3793,43.5235774080746
2019,9,Sant Andreu,60,Sant Andreu,Spaniards,21361,46.243429425668204
2019,9,Sant Andreu,61,la Sagrera,Spaniards,10013,48.8977156343234
2019,9,Sant Andreu,62,el Congrés i els Indians,Spaniards,4954,48.388222364685404
2019,9,Sant Andreu,63,Navas,Spaniards,7507,49.2961185434039
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Spaniards,12919,49.356467104787995
2019,10,Sant Martí,65,el Clot,Spaniards,8792,46.9397095496553
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Spaniards,4791,48.1065321805956
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Spaniards,2640,43.8959174517721
2019,10,Sant Martí,68,el Poblenou,Spaniards,10344,44.6778551301177
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Spaniards,4136,42.550270490966604
2019,10,Sant Martí,70,el Besòs i el Maresme,Spaniards,6181,48.45260832383121
2019,10,Sant Martí,71,Provençals del Poblenou,Spaniards,6769,45.27488828202579
2019,10,Sant Martí,72,Sant Martí de Provençals,Spaniards,9145,49.4645879949411
