Year,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Gender,Nationality,Age,Amount
2019,1,Ciutat Vella,1,el Raval,Home,Spaniards,0-4 anys,438
2019,1,Ciutat Vella,2,el Barri Gòtic,Home,Spaniards,0-4 anys,126
2019,1,Ciutat Vella,3,la Barceloneta,Home,Spaniards,0-4 anys,123
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Spaniards,0-4 anys,228
2019,2,Eixample,5,el Fort Pienc,Home,Spaniards,0-4 anys,464
2019,2,Eixample,6,la Sagrada Família,Home,Spaniards,0-4 anys,731
2019,2,Eixample,7,la Dreta de l'Eixample,Home,Spaniards,0-4 anys,653
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Spaniards,0-4 anys,661
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Spaniards,0-4 anys,900
2019,2,Eixample,10,Sant Antoni,Home,Spaniards,0-4 anys,581
2019,3,Sants-Montjuïc,11,el Poble Sec,Home,Spaniards,0-4 anys,509
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Home,Spaniards,0-4 anys,32
2019,3,Sants-Montjuïc,13,la Marina de Port,Home,Spaniards,0-4 anys,463
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Spaniards,0-4 anys,140
2019,3,Sants-Montjuïc,15,Hostafrancs,Home,Spaniards,0-4 anys,255
2019,3,Sants-Montjuïc,16,la Bordeta,Home,Spaniards,0-4 anys,337
2019,3,Sants-Montjuïc,17,Sants - Badal,Home,Spaniards,0-4 anys,370
2019,3,Sants-Montjuïc,18,Sants,Home,Spaniards,0-4 anys,697
2019,4,Les Corts,19,les Corts,Home,Spaniards,0-4 anys,845
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Spaniards,0-4 anys,407
2019,4,Les Corts,21,Pedralbes,Home,Spaniards,0-4 anys,194
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Spaniards,0-4 anys,107
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Home,Spaniards,0-4 anys,550
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,Spaniards,0-4 anys,371
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Spaniards,0-4 anys,507
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,Spaniards,0-4 anys,908
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,Spaniards,0-4 anys,574
2019,6,Gràcia,28,Vallcarca i els Penitents,Home,Spaniards,0-4 anys,258
2019,6,Gràcia,29,el Coll,Home,Spaniards,0-4 anys,128
2019,6,Gràcia,30,la Salut,Home,Spaniards,0-4 anys,242
2019,6,Gràcia,31,la Vila de Gràcia,Home,Spaniards,0-4 anys,922
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,Spaniards,0-4 anys,598
2019,7,Horta-Guinardó,33,el Baix Guinardó,Home,Spaniards,0-4 anys,404
2019,7,Horta-Guinardó,34,Can Baró,Home,Spaniards,0-4 anys,132
2019,7,Horta-Guinardó,35,el Guinardó,Home,Spaniards,0-4 anys,625
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Home,Spaniards,0-4 anys,173
2019,7,Horta-Guinardó,37,el Carmel,Home,Spaniards,0-4 anys,507
2019,7,Horta-Guinardó,38,la Teixonera,Home,Spaniards,0-4 anys,185
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Home,Spaniards,0-4 anys,111
2019,7,Horta-Guinardó,40,Montbau,Home,Spaniards,0-4 anys,83
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Home,Spaniards,0-4 anys,106
2019,7,Horta-Guinardó,42,la Clota,Home,Spaniards,0-4 anys,31
2019,7,Horta-Guinardó,43,Horta,Home,Spaniards,0-4 anys,442
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Home,Spaniards,0-4 anys,368
2019,8,Nou Barris,45,Porta,Home,Spaniards,0-4 anys,393
2019,8,Nou Barris,46,el Turó de la Peira,Home,Spaniards,0-4 anys,258
2019,8,Nou Barris,47,Can Peguera,Home,Spaniards,0-4 anys,32
2019,8,Nou Barris,48,la Guineueta,Home,Spaniards,0-4 anys,250
2019,8,Nou Barris,49,Canyelles,Home,Spaniards,0-4 anys,127
2019,8,Nou Barris,50,les Roquetes,Home,Spaniards,0-4 anys,269
2019,8,Nou Barris,51,Verdun,Home,Spaniards,0-4 anys,179
2019,8,Nou Barris,52,la Prosperitat,Home,Spaniards,0-4 anys,407
2019,8,Nou Barris,53,la Trinitat Nova,Home,Spaniards,0-4 anys,122
2019,8,Nou Barris,54,Torre Baró,Home,Spaniards,0-4 anys,64
2019,8,Nou Barris,55,Ciutat Meridiana,Home,Spaniards,0-4 anys,158
2019,8,Nou Barris,56,Vallbona,Home,Spaniards,0-4 anys,25
2019,9,Sant Andreu,57,la Trinitat Vella,Home,Spaniards,0-4 anys,177
2019,9,Sant Andreu,58,Baró de Viver,Home,Spaniards,0-4 anys,55
2019,9,Sant Andreu,59,el Bon Pastor,Home,Spaniards,0-4 anys,262
2019,9,Sant Andreu,60,Sant Andreu,Home,Spaniards,0-4 anys,1182
2019,9,Sant Andreu,61,la Sagrera,Home,Spaniards,0-4 anys,552
2019,9,Sant Andreu,62,el Congrés i els Indians,Home,Spaniards,0-4 anys,263
2019,9,Sant Andreu,63,Navas,Home,Spaniards,0-4 anys,360
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Home,Spaniards,0-4 anys,591
2019,10,Sant Martí,65,el Clot,Home,Spaniards,0-4 anys,456
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Home,Spaniards,0-4 anys,300
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Home,Spaniards,0-4 anys,159
2019,10,Sant Martí,68,el Poblenou,Home,Spaniards,0-4 anys,690
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Home,Spaniards,0-4 anys,343
2019,10,Sant Martí,70,el Besòs i el Maresme,Home,Spaniards,0-4 anys,325
2019,10,Sant Martí,71,Provençals del Poblenou,Home,Spaniards,0-4 anys,441
2019,10,Sant Martí,72,Sant Martí de Provençals,Home,Spaniards,0-4 anys,385
2019,10,Sant Martí,73,la Verneda i la Pau,Home,Spaniards,0-4 anys,454
2019,1,Ciutat Vella,1,el Raval,Home,Spaniards,5-9 anys,596
2019,1,Ciutat Vella,2,el Barri Gòtic,Home,Spaniards,5-9 anys,152
2019,1,Ciutat Vella,3,la Barceloneta,Home,Spaniards,5-9 anys,149
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Spaniards,5-9 anys,243
2019,2,Eixample,5,el Fort Pienc,Home,Spaniards,5-9 anys,517
2019,2,Eixample,6,la Sagrada Família,Home,Spaniards,5-9 anys,731
2019,2,Eixample,7,la Dreta de l'Eixample,Home,Spaniards,5-9 anys,740
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Spaniards,5-9 anys,648
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Spaniards,5-9 anys,873
2019,2,Eixample,10,Sant Antoni,Home,Spaniards,5-9 anys,579
