Year,Trimester,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Thousands_Euros,Euros_M2,Type_y
2019,1,1,Ciutat Vella,1,el Raval,236.7,3775.1,Total
2019,1,1,Ciutat Vella,2,el Barri Gòtic,411.7,4885.9,Total
2019,1,1,Ciutat Vella,3,la Barceloneta,215.6,5079.5,Total
2019,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",306.0,4682.5,Total
2019,1,2,Eixample,5,el Fort Pienc,582.2,4919.3,Total
2019,1,2,Eixample,6,la Sagrada Família,297.2,4379.3,Total
2019,1,2,Eixample,7,la Dreta de l'Eixample,475.3,4819.8,Total
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,396.3,4262.4,Total
2019,1,2,Eixample,9,la Nova Esquerra de l'Eixample,342.2,4620.8,Total
2019,1,2,Eixample,10,Sant Antoni,356.7,4459.3,Total
2019,1,3,Sants-Montjuïc,11,el Poble Sec,324.7,4563.2,Total
2019,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,,,Total
2019,1,3,Sants-Montjuïc,13,la Marina de Port,191.2,2823.7,Total
2019,1,3,Sants-Montjuïc,14,la Font de la Guatlla,247.7,3906.2,Total
2019,1,3,Sants-Montjuïc,15,Hostafrancs,210.6,3277.2,Total
2019,1,3,Sants-Montjuïc,16,la Bordeta,188.6,2898.4,Total
2019,1,3,Sants-Montjuïc,17,Sants - Badal,248.0,3225.3,Total
2019,1,3,Sants-Montjuïc,18,Sants,290.6,3681.2,Total
2019,1,4,Les Corts,19,les Corts,411.6,4910.9,Total
2019,1,4,Les Corts,20,la Maternitat i Sant Ramon,410.5,4551.1,Total
2019,1,4,Les Corts,21,Pedralbes,1011.8,6089.9,Total
2019,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",380.6,4614.6,Total
2019,1,5,Sarrià-Sant Gervasi,23,Sarrià,734.1,6360.8,Total
2019,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,853.2,6191.4,Total
2019,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,747.4,5570.8,Total
2019,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,637.0,5488.3,Total
2019,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,448.6,4505.1,Total
2019,1,6,Gràcia,28,Vallcarca i els Penitents,273.1,3511.5,Total
2019,1,6,Gràcia,29,el Coll,194.4,2667.9,Total
2019,1,6,Gràcia,30,la Salut,379.6,4314.3,Total
2019,1,6,Gràcia,31,la Vila de Gràcia,468.5,5242.1,Total
2019,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,340.5,4254.0,Total
2019,1,7,Horta-Guinardó,33,el Baix Guinardó,280.3,3915.2,Total
2019,1,7,Horta-Guinardó,34,Can Baró,252.2,3575.2,Total
2019,1,7,Horta-Guinardó,35,el Guinardó,262.8,3307.8,Total
2019,1,7,Horta-Guinardó,36,la Font d'en Fargues,202.6,2383.2,Total
2019,1,7,Horta-Guinardó,37,el Carmel,255.6,3179.1,Total
2019,1,7,Horta-Guinardó,38,la Teixonera,147.1,2299.2,Total
2019,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,170.9,2392.7,Total
2019,1,7,Horta-Guinardó,40,Montbau,159.9,2324.6,Total
2019,1,7,Horta-Guinardó,41,la Vall d'Hebron,222.3,4268.2,Total
2019,1,7,Horta-Guinardó,42,la Clota,170.0,2912.3,Total
2019,1,7,Horta-Guinardó,43,Horta,266.9,3420.2,Total
2019,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,229.1,3592.9,Total
2019,1,8,Nou Barris,45,Porta,179.7,2762.8,Total
2019,1,8,Nou Barris,46,el Turó de la Peira,145.2,2218.1,Total
2019,1,8,Nou Barris,47,Can Peguera,,,Total
2019,1,8,Nou Barris,48,la Guineueta,194.9,2779.0,Total
2019,1,8,Nou Barris,49,Canyelles,150.0,2112.7,Total
2019,1,8,Nou Barris,50,les Roquetes,156.7,2811.6,Total
2019,1,8,Nou Barris,51,Verdun,148.2,2298.0,Total
2019,1,8,Nou Barris,52,la Prosperitat,150.6,2155.3,Total
2019,1,8,Nou Barris,53,la Trinitat Nova,80.0,1568.6,Total
2019,1,8,Nou Barris,54,Torre Baró,,,Total
2019,1,8,Nou Barris,55,Ciutat Meridiana,95.2,1533.1,Total
2019,1,8,Nou Barris,56,Vallbona,,,Total
2019,1,9,Sant Andreu,57,la Trinitat Vella,154.7,2440.8,Total
2019,1,9,Sant Andreu,58,Baró de Viver,,,Total
2019,1,9,Sant Andreu,59,el Bon Pastor,146.6,2180.3,Total
2019,1,9,Sant Andreu,60,Sant Andreu,251.7,3269.7,Total
2019,1,9,Sant Andreu,61,la Sagrera,240.4,3561.6,Total
2019,1,9,Sant Andreu,62,el Congrés i els Indians,251.9,3390.9,Total
2019,1,9,Sant Andreu,63,Navas,379.2,4505.9,Total
2019,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,319.5,3925.5,Total
