Year,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Censal_Section,Use,Amount,Key,Surface_M2,Euros
2019,1,Ciutat Vella,1,el Raval,1,Housing,819.0,2019-1-1-1-Housing,62887.0,67059674.4306311
2019,1,Ciutat Vella,1,el Raval,1,Parking,98.0,2019-1-1-1-Parking,3027.0,2085314.08614478
2019,1,Ciutat Vella,1,el Raval,1,Commerce,50.0,2019-1-1-1-Commerce,5905.0,11629146.850224301
2019,1,Ciutat Vella,1,el Raval,1,Warehouse,30.0,2019-1-1-1-Warehouse,14609.0,8153377.1903722
2019,1,Ciutat Vella,1,el Raval,1,Office,157.0,2019-1-1-1-Office,14433.0,19477571.0509396
2019,1,Ciutat Vella,1,el Raval,1,Hotel,28.0,2019-1-1-1-Hotel,3379.0,5839170.76
2019,1,Ciutat Vella,1,el Raval,1,Education,21.0,2019-1-1-1-Education,26899.0,24542663.4442215
2019,1,Ciutat Vella,1,el Raval,1,Health,5.0,2019-1-1-1-Health,2897.0,3702630.96
2019,1,Ciutat Vella,1,el Raval,1,Religious,1.0,2019-1-1-1-Religious,688.0,976395.84
2019,1,Ciutat Vella,1,el Raval,1,Public Administration,15.0,2019-1-1-1-Public Administration,11449.0,9485613.6374665
2019,1,Ciutat Vella,1,el Raval,1,Shows,2.0,2019-1-1-1-Shows,319.0,379007.09
2019,1,Ciutat Vella,1,el Raval,2,Housing,700.0,2019-1-1-2-Housing,50116.0,49981470.74532779
2019,1,Ciutat Vella,1,el Raval,2,Parking,54.0,2019-1-1-2-Parking,934.0,980732.836544873
2019,1,Ciutat Vella,1,el Raval,2,Commerce,60.0,2019-1-1-2-Commerce,5346.0,6773752.18687678
2019,1,Ciutat Vella,1,el Raval,2,Warehouse,57.0,2019-1-1-2-Warehouse,5803.0,4241510.92386085
2019,1,Ciutat Vella,1,el Raval,2,Office,10.0,2019-1-1-2-Office,925.0,682258.773589602
2019,1,Ciutat Vella,1,el Raval,2,Hotel,94.0,2019-1-1-2-Hotel,16219.0,21832501.1998482
2019,1,Ciutat Vella,1,el Raval,2,Education,17.0,2019-1-1-2-Education,9581.0,7860726.51
2019,1,Ciutat Vella,1,el Raval,2,Sports,1.0,2019-1-1-2-Sports,1960.0,2089744.06595583
2019,1,Ciutat Vella,1,el Raval,2,Shows,12.0,2019-1-1-2-Shows,5925.0,6369775.557996
2019,1,Ciutat Vella,1,el Raval,3,Housing,1331.0,2019-1-1-3-Housing,78539.0,71692363.84425358
2019,1,Ciutat Vella,1,el Raval,3,Parking,222.0,2019-1-1-3-Parking,12149.0,8225259.18117623
2019,1,Ciutat Vella,1,el Raval,3,Commerce,132.0,2019-1-1-3-Commerce,10750.0,10134660.4509962
2019,1,Ciutat Vella,1,el Raval,3,Warehouse,58.0,2019-1-1-3-Warehouse,5560.0,2885028.32094963
2019,1,Ciutat Vella,1,el Raval,3,Office,17.0,2019-1-1-3-Office,5340.0,5319242.97695565
2019,1,Ciutat Vella,1,el Raval,3,Hotel,41.0,2019-1-1-3-Hotel,12806.0,21414058.9658362
2019,1,Ciutat Vella,1,el Raval,3,Education,3.0,2019-1-1-3-Education,135.0,125338.23
2019,1,Ciutat Vella,1,el Raval,3,Health,10.0,2019-1-1-3-Health,6232.0,7751059.75
2019,1,Ciutat Vella,1,el Raval,3,Sports,1.0,2019-1-1-3-Sports,20.0,37800.3038617886
2019,1,Ciutat Vella,1,el Raval,3,Shows,1.0,2019-1-1-3-Shows,257.0,226466.105641661
2019,1,Ciutat Vella,1,el Raval,3,Others,2.0,2019-1-1-3-Others,177.0,264885.620329051
2019,1,Ciutat Vella,1,el Raval,4,Housing,1461.0,2019-1-1-4-Housing,95338.0,93534623.22193001
2019,1,Ciutat Vella,1,el Raval,4,Parking,551.0,2019-1-1-4-Parking,17413.0,9616135.1166788
2019,1,Ciutat Vella,1,el Raval,4,Commerce,98.0,2019-1-1-4-Commerce,16937.0,14843545.8527303
2019,1,Ciutat Vella,1,el Raval,4,Warehouse,81.0,2019-1-1-4-Warehouse,7457.0,6376804.8298440995
2019,1,Ciutat Vella,1,el Raval,4,Office,29.0,2019-1-1-4-Office,5790.0,5831309.24175698
2019,1,Ciutat Vella,1,el Raval,4,Hotel,66.0,2019-1-1-4-Hotel,18164.0,33404517.8510344
2019,1,Ciutat Vella,1,el Raval,4,Education,17.0,2019-1-1-4-Education,20581.0,18647451.153809197
2019,1,Ciutat Vella,1,el Raval,4,Sports,9.0,2019-1-1-4-Sports,5160.0,2966872.79221619
2019,1,Ciutat Vella,1,el Raval,4,Religious,3.0,2019-1-1-4-Religious,2216.0,1503112.8
2019,1,Ciutat Vella,1,el Raval,4,Public Administration,8.0,2019-1-1-4-Public Administration,5938.0,6535214.39
2019,1,Ciutat Vella,1,el Raval,4,Shows,14.0,2019-1-1-4-Shows,4372.0,4538062.83
2019,1,Ciutat Vella,1,el Raval,5,Housing,1244.0,2019-1-1-5-Housing,96875.0,96442596.2946877
2019,1,Ciutat Vella,1,el Raval,5,Parking,264.0,2019-1-1-5-Parking,9341.0,4082983.67777874
2019,1,Ciutat Vella,1,el Raval,5,Commerce,187.0,2019-1-1-5-Commerce,20389.0,25109669.0594739
2019,1,Ciutat Vella,1,el Raval,5,Warehouse,86.0,2019-1-1-5-Warehouse,12202.0,8530422.35886162
2019,1,Ciutat Vella,1,el Raval,5,Office,16.0,2019-1-1-5-Office,1394.0,1283606.09120743
2019,1,Ciutat Vella,1,el Raval,5,Hotel,178.0,2019-1-1-5-Hotel,31706.0,54986022.401670106
2019,1,Ciutat Vella,1,el Raval,5,Public Administration,5.0,2019-1-1-5-Public Administration,3208.0,3488764.16
2019,1,Ciutat Vella,1,el Raval,5,Shows,30.0,2019-1-1-5-Shows,33993.0,66074469.71632049
2019,1,Ciutat Vella,1,el Raval,5,Others,1.0,2019-1-1-5-Others,113.0,4811.65
2019,1,Ciutat Vella,1,el Raval,6,Housing,909.0,2019-1-1-6-Housing,70989.0,61516021.5430401
2019,1,Ciutat Vella,1,el Raval,6,Parking,192.0,2019-1-1-6-Parking,4345.0,2865486.99365848
2019,1,Ciutat Vella,1,el Raval,6,Commerce,79.0,2019-1-1-6-Commerce,6518.0,8741338.37720184
2019,1,Ciutat Vella,1,el Raval,6,Warehouse,37.0,2019-1-1-6-Warehouse,3218.0,2568696.83667362
2019,1,Ciutat Vella,1,el Raval,6,Office,5.0,2019-1-1-6-Office,318.0,312132.32
2019,1,Ciutat Vella,1,el Raval,6,Hotel,128.0,2019-1-1-6-Hotel,22293.0,31072932.337929305
2019,1,Ciutat Vella,1,el Raval,6,Health,6.0,2019-1-1-6-Health,1519.0,1437419.92013699
2019,1,Ciutat Vella,1,el Raval,6,Religious,17.0,2019-1-1-6-Religious,7463.0,5772002.92229654
2019,1,Ciutat Vella,1,el Raval,6,Shows,4.0,2019-1-1-6-Shows,2176.0,3020203.61906314
2019,1,Ciutat Vella,1,el Raval,7,Housing,887.0,2019-1-1-7-Housing,62167.0,56544688.328180104
2019,1,Ciutat Vella,1,el Raval,7,Parking,415.0,2019-1-1-7-Parking,5641.0,3802172.01811271
2019,1,Ciutat Vella,1,el Raval,7,Commerce,84.0,2019-1-1-7-Commerce,8527.0,8992613.70539296
2019,1,Ciutat Vella,1,el Raval,7,Warehouse,129.0,2019-1-1-7-Warehouse,3418.0,4095721.59718372
2019,1,Ciutat Vella,1,el Raval,7,Office,13.0,2019-1-1-7-Office,6695.0,9650317.48319353
2019,1,Ciutat Vella,1,el Raval,7,Hotel,37.0,2019-1-1-7-Hotel,11121.0,14550209.431007901
2019,1,Ciutat Vella,1,el Raval,7,Sports,1.0,2019-1-1-7-Sports,20.0,26989.7269291339
2019,1,Ciutat Vella,1,el Raval,7,Shows,9.0,2019-1-1-7-Shows,7282.0,10676504.3
2019,1,Ciutat Vella,1,el Raval,8,Housing,1258.0,2019-1-1-8-Housing,68638.0,63017865.28187951
2019,1,Ciutat Vella,1,el Raval,8,Parking,164.0,2019-1-1-8-Parking,5176.0,1883682.75
2019,1,Ciutat Vella,1,el Raval,8,Commerce,62.0,2019-1-1-8-Commerce,5004.0,4328703.4577147
2019,1,Ciutat Vella,1,el Raval,8,Warehouse,32.0,2019-1-1-8-Warehouse,6140.0,2273890.79040584
2019,1,Ciutat Vella,1,el Raval,8,Hotel,10.0,2019-1-1-8-Hotel,560.0,637384.39
2019,1,Ciutat Vella,1,el Raval,8,Industry,3.0,2019-1-1-8-Industry,482.0,269536.96
2019,1,Ciutat Vella,1,el Raval,8,Health,2.0,2019-1-1-8-Health,2473.0,3042927.58
2019,1,Ciutat Vella,1,el Raval,9,Housing,1015.0,2019-1-1-9-Housing,58552.0,53302189.15262221
2019,1,Ciutat Vella,1,el Raval,9,Parking,290.0,2019-1-1-9-Parking,5925.0,2750750.3419301
2019,1,Ciutat Vella,1,el Raval,9,Commerce,87.0,2019-1-1-9-Commerce,8290.0,7056146.7014513
2019,1,Ciutat Vella,1,el Raval,9,Warehouse,47.0,2019-1-1-9-Warehouse,3491.0,1658625.80420011
2019,1,Ciutat Vella,1,el Raval,9,Office,92.0,2019-1-1-9-Office,3082.0,2264949.65929981
2019,1,Ciutat Vella,1,el Raval,9,Hotel,1.0,2019-1-1-9-Hotel,62.0,48835.8
2019,1,Ciutat Vella,1,el Raval,9,Education,9.0,2019-1-1-9-Education,2446.0,2494925.72
2019,1,Ciutat Vella,1,el Raval,9,Sports,4.0,2019-1-1-9-Sports,909.0,564052.690496536
2019,1,Ciutat Vella,1,el Raval,9,Unbuilt land,1.0,2019-1-1-9-Unbuilt land,0.0,9549.63
2019,1,Ciutat Vella,1,el Raval,10,Housing,965.0,2019-1-1-10-Housing,54482.0,46385728.669675894
2019,1,Ciutat Vella,1,el Raval,10,Parking,342.0,2019-1-1-10-Parking,8153.0,3060271.59215653
2019,1,Ciutat Vella,1,el Raval,10,Commerce,79.0,2019-1-1-10-Commerce,6051.0,6016179.08169273
2019,1,Ciutat Vella,1,el Raval,10,Warehouse,141.0,2019-1-1-10-Warehouse,13764.0,6045421.0658892
2019,1,Ciutat Vella,1,el Raval,10,Office,14.0,2019-1-1-10-Office,742.0,864087.02
2019,1,Ciutat Vella,1,el Raval,10,Hotel,15.0,2019-1-1-10-Hotel,2523.0,5203191.54614116
2019,1,Ciutat Vella,1,el Raval,10,Industry,6.0,2019-1-1-10-Industry,135.0,45947.96
2019,1,Ciutat Vella,1,el Raval,10,Sports,1.0,2019-1-1-10-Sports,308.0,112192.76444444401
2019,1,Ciutat Vella,1,el Raval,11,Housing,1545.0,2019-1-1-11-Housing,82022.0,76314241.64478141
2019,1,Ciutat Vella,1,el Raval,11,Parking,34.0,2019-1-1-11-Parking,1502.0,773870.233591837
2019,1,Ciutat Vella,1,el Raval,11,Commerce,110.0,2019-1-1-11-Commerce,8329.0,7929317.27643783
2019,1,Ciutat Vella,1,el Raval,11,Warehouse,49.0,2019-1-1-11-Warehouse,3389.0,2651002.69350573
2019,1,Ciutat Vella,1,el Raval,11,Office,12.0,2019-1-1-11-Office,1657.0,2060222.59062684
2019,1,Ciutat Vella,1,el Raval,11,Hotel,29.0,2019-1-1-11-Hotel,2254.0,3182408.7717422
2019,1,Ciutat Vella,1,el Raval,11,Education,29.0,2019-1-1-11-Education,14103.0,11246411.723942801
2019,1,Ciutat Vella,1,el Raval,11,Industry,1.0,2019-1-1-11-Industry,2.0,1243.6887272727301
2019,1,Ciutat Vella,1,el Raval,11,Sports,9.0,2019-1-1-11-Sports,3393.0,2239950.29790098
2019,1,Ciutat Vella,1,el Raval,11,Religious,6.0,2019-1-1-11-Religious,2036.0,1127778.93874321
2019,1,Ciutat Vella,1,el Raval,11,Shows,2.0,2019-1-1-11-Shows,354.0,307061.27
2019,1,Ciutat Vella,1,el Raval,12,Housing,1060.0,2019-1-1-12-Housing,59588.0,59635545.1132884
2019,1,Ciutat Vella,1,el Raval,12,Parking,89.0,2019-1-1-12-Parking,2468.0,873156.83
2019,1,Ciutat Vella,1,el Raval,12,Commerce,67.0,2019-1-1-12-Commerce,4015.0,3622218.63474951
2019,1,Ciutat Vella,1,el Raval,12,Warehouse,13.0,2019-1-1-12-Warehouse,569.0,472140.54657208297
2019,1,Ciutat Vella,1,el Raval,12,Office,49.0,2019-1-1-12-Office,1832.0,1822883.03408766
2019,1,Ciutat Vella,1,el Raval,12,Education,11.0,2019-1-1-12-Education,1855.0,1108415.46725764
2019,1,Ciutat Vella,1,el Raval,12,Industry,2.0,2019-1-1-12-Industry,234.0,156694.9
2019,1,Ciutat Vella,1,el Raval,12,Religious,6.0,2019-1-1-12-Religious,2446.0,1182446.05404468
2019,1,Ciutat Vella,1,el Raval,13,Housing,621.0,2019-1-1-13-Housing,42684.0,42678092.89523979
2019,1,Ciutat Vella,1,el Raval,13,Parking,96.0,2019-1-1-13-Parking,3818.0,1315718.01336483
2019,1,Ciutat Vella,1,el Raval,13,Commerce,37.0,2019-1-1-13-Commerce,4593.0,4336186.60401875
2019,1,Ciutat Vella,1,el Raval,13,Warehouse,20.0,2019-1-1-13-Warehouse,4751.0,1856233.2873766003
2019,1,Ciutat Vella,1,el Raval,13,Hotel,3.0,2019-1-1-13-Hotel,1651.0,1964824.06
2019,1,Ciutat Vella,1,el Raval,14,Housing,817.0,2019-1-1-14-Housing,50574.0,47045986.3472721
2019,1,Ciutat Vella,1,el Raval,14,Parking,43.0,2019-1-1-14-Parking,1454.0,441938.17
2019,1,Ciutat Vella,1,el Raval,14,Commerce,55.0,2019-1-1-14-Commerce,4459.0,3360258.42905346
